tweet,user,date_time,replies,retweets,views,country,sentiment
years old got told commit suicide daring express feelings also told fuckoff go back europe settler south african born raised like many others,@PiesangPies,Mar 28,301,155,71K,ZA,low
sa depression anxiety group thesadag help trauma mental health worldsuicidepreventionday,@MapsMaponyane,"Sep 10, 2017",1,1K,,ZA,low
getting manic kill want another manic episode,@m4110wm4xxx,Mar 31,,1,66,MM,high
genuinely believe need serious psychiatric help bc one thing happens suddenly want end life,@melybabyy,Apr 2,,,56,MM,low
may attempted commit suicide gunshot wound head close friend time found almost hours later still breathing yet unconscious rushed ambulance shands hospital trauma unit would placed,@iamteshonna,"Mar 21, 2024",971,3.2K,7.8M,KE,low
keafridayconfession serious suicidal thoughts always trying ignore gets worse everyday,@RenyThulo,"Mar 7, 2020",107,99,,KE,high
knowingbrothers superjunior advocating mentalhealthawareness korea highest suicide rate heechul people say get right mind would go psychiatrist words hurt lot ep,@Arcieghi,"Oct 29, 2024",1,133,20K,KR,moderate
korea young women teens twenties attempt suicide rate per day due experiences gender violence deepfakes well instability frustration labor market,@KM__arch,"Oct 16, 2024",4,99,15K,KR,low
tw outcome dark side k pop articles sensationalistic western reporting sk school pressure real thing death suicide fails consider education big deal korean war country many,@GoAwayWithJae,"Sep 27, 2020",68,467,,KR,high
suicide joke never never tolerate safe space anyone felt triggered post know dms open always sending hugs,@corialyce,1h,,,43,CO,low
suicidal thoughts please try speak someone get help like therapy sad see someone takes life suicidal thoughts loved cared people life like love ones family members,@JustAlfie__,18h,1,,225,CO,moderate
people depression anxiety tend sleep longer coz find peace sleep dreams dreams get corrupted mental health suicidal thoughts rise coz feel way misery,@Narresh_Nathan5,"Jan 31, 2019",1,152,,IN,high
depression schizophrenia bipolar suicide individually weak like single twig together strong strong come together depression suicideawareness mentalhealthmatters,@i_mausumi,"Jun 14, 2020",25,249,,IN,high
suicide helpline india says contact us working hours pm btw,@superachnural,"Aug 30, 2022",117,966,,IN,low
help available us please dial thinking suicide call text chat,@DrAlrahmani,"Mar 1, 2023",6,92,80K,US,low
thinking suicide worried friend loved one would like emotional support lifeline network available across us call talk help support,@inkmaster,"May 9, 2018",10,287,,US,low
feel anon severe anxiety years tapi sekarang dah okay things solve issue journaling sleep seeing counselor rm hour taking magnesium glycinate pls consult doctor,@eddthinksdesign,"Feb 13, 2023",4,174,43K,ID,low
feeling depressed anxious suicidal need someone talk whatsapp add kami peduli whatsapp group need money food place stay lemme know one starving,@adrnnsfl,"Apr 3, 2020",9,1.7K,,ID,high
anxiety genuine torture one thing wrong convinced going die n think n til point got tears scared go sleep doctors confirm something stupid n still like na lying help,@shankellly,"Aug 29, 2019",16,620,,PK,high
depressed sleep depressed wake depressed shower depressed clean feel fucking hopeless wanna sick hate living scared die income help parents refuse help wanna cry,@laandminegyaaru,Apr 1,1,,77,PK,high
spent r k psychiatric care last month far anxiety attacks went day sleep h night hr gone drinking everyday drinking week clean self harm week,@yonwaba_mzizi,"Sep 6, 2022",198,682,,NG,low
sleep depression taking thing mind much wanna anymore fking tired anything thinking everyday convincing ppl better without,@yagirlsarina24,Feb 3,,8,13K,BD,high
help please everyone going somethings lately going lie suicidal attempted suicide diff times year alone pain scarring wanna e pain much make stop,@AOlashiku,Apr 4,,,20,BD,high
overdosing sleep medicine cutting trynna hang felt alone nobody love attention struggled weight ugly neglecteddisrespected thought god nothing else life ive enough pain ssu mypeace suicideawareness,@sbfancy_,"Sep 16, 2018",12,59,,BD,high
instead surrendering russian invader made better choice th case th month suicide every day unbelievable shocked fucked head must option available denazify,@GloOouD,"Nov 16, 2024",38,185,74K,RU,moderate
loki au suicidal wanna fucking die wanna able close eyes feel alright every day feel like dying,@tvoyi_muziki,"Mar 20, 2020",3,25,,RU,low
hey alone help need help yet end story pause take break breathe hug friend cry whatever need hopeline hotlines hope hope,@risahontiveros,"Jan 16, 2019",6,297,,MX,low
help available speak someone today suicide crisis lifeline languages english spanish hours available hours call text,@MarchyNUFC,"Nov 30, 2024",5,9,10K,MX,low
seriously suicidal cause stay asleep annoying matter much meletionan take omfg,@k1ttyy_p4wzzz,17h,,,24,ET,high
wanna kill im wanna kill im talking people online wanna kill im around people fml man,@laandminegyaaru,Apr 4,1,,56,EG,high
read sad story young man crying help weeks nobody responded till killed please beg struggling severe depression suicidal thoughts kindly speak someone nigeria please,@OurFavOnlineDoc,Mar 26,92,222,63K,EG,low
suicidal poor appetite increased appetite constantly tearful self harm think self harming motivation anything want sleep serious illness get professional help friends cant help,@KNeferhetep,"Dec 6, 2020",11,93,,EG,moderate
someone suffers suicidal thoughts visit doctor given pills even free britain,@Effiedeans,"Mar 9, 2021",51,66,,EG,moderate
want kill cant leave cat alone onow much take,@suicideislegal_,Mar 30,1,,96,VN,moderate
someone tl might need contacts suicide rape assault depression emergency adhd helpline trauma line mental health line,@celineakosua,"Jun 22, 2020",35,9.7K,,CD,high
somebody needs suicide numbers united kingdom united states canada ireland philippines australia someone dies suicide every seconds retweet save life,@FrankiLoveMusic,"Mar 24, 2019",10,127,,CD,high
want rest hate sleeping nightmares sitting alone crying one comfort want little escape even sleep even,@Abdullah_Om3r03,"Sep 24, 2024",126,1K,23K,TR,moderate
light news please talk feel talk mental health burdening anyone talking check therapy option try talking friends family online free ways talk professionals,@pa1nkillerss,Jan 4,2,151,15K,IR,low
suicide rate among men increasing due decrease purchasing power economic uncertainty country rising inflation youths committed suicide street alone faisal edhi tragic inflation seem issue govt media,@justujuuu,"Apr 14, 2023",30,684,87K,IR,low
one really talks fact suicidal attempted possibility suicide lingers matter good feel well take care,@ichriecheblut,"Jul 2, 2019",3,446,,DE,low
tawag paglaum suicide depression hotline operates everyday said org caters call ph offers emotional first aids anyone know needs service call,@thatsedoublem,"Sep 10, 2018",29,2.8K,,TH,low
guys aware serious depression lead suicide cases malaysia per year,@AshlynaShah,"Jul 25, 2017",6,204,,TH,low
watch gina anindyajati general psychiatrist cipto mangunkusumo hospital shares tips respond someone suicidal thoughts jakpost,@jakpost,"Sep 16, 2020",,71,,TH,low
dont even know whats going im even depressed worse wake cry cry fall asleep contemplate suicide every minutes decide next time think,@SSomeboiz,Apr 3,,,75,FR,high
anyone struggling right useful helplines samaritans calm young minds childline anxiety uk mind shout,@areyoflight,Mar 31,9,168,3.7K,GB,low
woke news friends brother taken life men alone please please please know suicide hotlines uk usa,@ItsPammySixx,"Nov 7, 2024",69,62,7.2K,GB,low
im anxious cant really work job without breaking going outside society struggle terrifying today told due frequent panic attacks might give job,@ChianiNemona,Apr 4,5,,234,IT,moderate
sitting bed bawling eyes friends life nothing look forward need die,@Jazzy_Haz_anED,4h,,1,25,TZ,low
cant sleep im horrible death anxiety everyone eventually going die love care want go bed,@fruitzandtea,8h,,,19,TZ,moderate
cant sleep feels like anxiety eating worried anything everything stop worrying,@STFUGANYU,Apr 1,,,66,TZ,low
please help suicidal thoughts depressed win battle help help help help help,@Zinhle_10,"Dec 25, 2024",1K,722,947K,TZ,low
men commit suicide month south africa scary statistics,@Lulugeez,"Oct 9, 2018",76,1.2K,,ZA,low
another nightmare woke craving suicide uuughhhhh,@intrnetarchived,4h,,,77,MM,high
never know anyone going share numbers help someone suicide rape assault depression emergency adhd helpline trauma line mental health line uk helplines,@rkkaaay,"Jul 7, 2021",4,379,,KE,moderate
make permanent decision temporary problem long ago even breaking point gun head found hope think family loved ones matter bleak things promise get,@BrandonCopicWx,Mar 20,9,15,85K,CO,low
understand feel medicated bi polar disorder depression heart lung issues well immuno compromised days really struggle get attempted suicide twice realize time go met great guy,@LGBMINUSTQ,11h,,,37,CO,low
suicide decriminalized uae authorities provide mental health assistance need truly made day,@marwuh,"Nov 7, 2020",2,157,,UA,low
suicides rising across us suicide mental health condition states communities adopt comprehensive strategies prevent suicide read new vitalsigns report,@CDCgov,"Jun 7, 2018",48,724,,US,low
suicide leading cause death united states million people thought suicide million planned suicide attempt million attempted suicide people died need talk mental health,@IAmClintMurphy,"Dec 18, 2022",50,320,353K,US,high
us suicide map pretty odd low risk cali deep south e cost upper midwest farm belt high suicide belts entire mountain west pnw apalachin ozark corridor n woods,@Empty_America,"Apr 3, 2024",183,168,214K,US,low
mental health matters month every rt case someone needs contacts suicide crisis helpline sadag south african depression anxiety group helpline sms lifeline sa helpline,@carissacupido,"May 6, 2019",1,358,,ID,low
years ago diagnosed major depressive disorder first time telling social media platform brown person telling depression humiliation take life would say,@__dhxr,"Jul 20, 2020",15,215,,PK,low
join queen us due gender dysphoria causing depression social anxiety isolation attempted suicide twice already part statistic fault old environment happy despite hatred,@nyaraVT,Mar 31,19,63,6.6K,NG,low
time nigeria recovers starts enjoying good governance lot people know today suffering mental health crisis let explain mental health crisis also explained feeling losing control,@_spiriituaL,8h,112,481,52K,NG,moderate
suicide selfish suicide normally death caused illness depression final symptom final collapse unbearable weight suicide tragedy never close edge judge something cant understand,@BPD_Foxgirl,"Sep 9, 2022",8,185,,BD,low
anxiety actually bad rn feel panicked hate much get scared times might actually try hang something im weak deal life nothing anything anyone guys know scared,@BloodyAromatic,Apr 2,1,,78,RU,high
hate hate everything want leave cry fair nothing fair anyone care neglected hope anything nobody looking directly eyes rn tearing,@landmineslut,22h,,,48,RU,low
sound little paranoid tried see good psychiatrist russia try emigrate,@MaurizioDG_tale,57s,,,,RU,moderate
japan appointed tetsushi sakamoto minister loneliness seeing suicide rates country increase first time years,@CueSibiya,"Feb 23, 2021",10,112,,JP,low
suicide japan fell april compared biggest drop five years uk guardian reports contributing factors include people spending time home families fewer people commuting work start school year delayed,@NewsBFM,"May 14, 2020",16,3.9K,,JP,high
reading probably gone things going way panned tired want depression one major mental health problems adults suffer people commit suicide due depression every year,@SQuaribat,"Apr 25, 2023",25,122,58K,ET,low
surprise deprived country double risk suicideprevention least deprived per via ons thankful samaritans,@Buckden_Simon,"Jul 7, 2022",5,102,,ET,low
know always talktosomejuan ncmh crisis hotline usap usap crisis line touch save numbers save life mentalhealthph wspd wspd worldsuicidepreventionday,@mentalhealthph,"Sep 10, 2019",6,929,,PH,low
sorry viet believe polyamory love one man one man leaves suicide attempts begin,@archivvmpyr,Mar 31,3,,587,VN,high
constant cycle feeling depressed want kill feeling good thinking overdramatic im actually mentally ill,@R4INC4NDYU,"Dec 13, 2024",9,884,35K,CD,high
found text home feeling depressed suicidal crisis counselor text super important people like talking phone free pls rt help someone never know needs,@m00nmamaa_,"Oct 28, 2020",37,48K,,CD,high
kendime tan koyduklar dissociation depression anxiety social anxiety bpd panic attack low self esteem low self worth low self love,@shiningsunrp,20h,,,17,TR,low
suicide mental illness kill people week ireland much government cares iamareason,@Eimear_McManus,"Apr 27, 2016",2,183,,IR,low
read article ireland th highest rate suicide europe honestly surprised health system waiting lists months long many people severely depressed already deemed high risk suicide,@briannaamorris8,"Jul 22, 2018",1,127,,GB,low
im super bad mental state right feel numb anything really bad urge cut get hospitalised really trying,@decaysaint,17m,,,4,TZ,high
someone tl might need contacts suicide rape assault depression emergency adhd helpline trauma line mental health line share awareness,@Hsmthethwa,"Jun 4, 2020",67,55K,,ZA,low
depression suicidal result bad day low self esteem momentary morbid curiosity death thankfully something everyone experiences compromised mind either illness trauma tremendous pain desperate escape,@MikeJMele,"Dec 19, 2023",22,127,25K,MM,moderate
south korea incredible country vibrant culture also undergoing possibly worst mental health crisis world playing video games hosting reader meet eating spiciest f cking food life went,@IAmMarkManson,"Jan 22, 2024",33,78,148K,KR,low
maybe someone need hear alone okay okay shame asking help mental health important people resources available support difficult time remember thoughts student sets fire sia petrol station failing law exam times,@mandarinjer,"Apr 19, 2023",1,159,32K,CO,high
hey another gem call ever feel stressed anxious suicidal anything trained counselor answer phone also whatsapp want call really helped today hope help someone else,@ChelseaTB_,"Sep 30, 2020",,360,,CO,low
alone need talk know someone needs help hesitate reach follow link complete list crisis centres across canada worldsuicidepreventionday,@Canada,"Sep 10, 2018",32,951,,CO,moderate
feel lonely exhausted longer enough energy bear know perhaps suicide better solution feel pain anymore,@Abdullah_Om3r03,"Sep 2, 2024",419,1.3K,67K,UA,high
ominous rate suicides country reflects helplessness exhaustion people cruelty govt crushed public anti people moves modifailsindia,@INCIndia,"Aug 30, 2022",8,216,,IN,low
feel exhausted get good rest physically weak tend feel mentality weak sometimes lead depression suicidal thoughts get sleep rest try tomorrow,@ShadiqJamaludin,"Dec 27, 2018",,587,,IN,high
exhausted feel like repeating day routine feelings meaningless drama sick want feel alive happy constantly drained everything feels pointless feel dead,@ohanxiety,"Sep 9, 2024",18,356,35K,ID,high
sometime cry reason feel alone tired everything trying still results,@isfunnyyyy,Jan 31,177,63,2.5K,PK,low
need break everything heart feels heavy mind exhausted want peace time breathe feel okay,@isfunnyyyy,Mar 14,200,40,2.4K,PK,low
know feel right heavy want cry want rest know find rest exhausting draining tired,@ohanxiety,"Nov 5, 2024",125,786,74K,NG,high
anxiety depression fear failure urge productive wanting friends hate socializing wanting alone wanting lonely feeling everything feeling paralyzingly numb feel helpless seek help,@GentlemanBright,"Jan 9, 2020",12,467,,NG,high
im exhausted sad today feels like depression coming back,@Suicidal_bpd,Mar 30,,2,216,BD,high
exhausted drained anxious reason want sleep love anxiety,@swtstan,21h,,,29,BD,moderate
tired mentally tired working everyday barely getting tired people abusing kindness tired take care parent even make enough take care tired getting stuck everyone problems tireddd,@errreia,15h,,,29,MX,high
beyond tired physically emotionally feel like go much longer drained really worn hard need moment break something catch breath completely lose,@Mamaheyyy,Apr 3,5,4,893,MX,high
tired body tired mind mess really want lay bed never get tired life,@anxietytxtmsgs,Apr 4,1,8,823,ET,low
even upset hurt angry anymore tired tired putting effort receive tired holding nothing tired getting hopes let time time,@ohanxiety,"Oct 31, 2024",184,522,91K,ET,low
kayo rin ba minsan even energy certain things around people anymore point life something feels like draining fighting peace mind happiness dealing,@arkcarlly,Mar 8,9,180,25K,PH,low
fucking hate spend whole day happy motivated thinking jolly good get sense impending doom loneliness wanting e night ruined,@annaofheartss,Apr 4,,,173,EG,moderate
eng version tw self harm depression modern au aventio,@Quilkie_,"Oct 8, 2024",4,271,49K,CD,low
im lost tired im almost know shouldnt give im mentally emotionally exhausted already like months change wanna sleep long time,@scaramouchibibi,Apr 1,,,54,TR,high
tired life lately hard considering suicide option cos seems like best way run away pain life,@SheikhShuaib01,20h,8,5,1K,IR,high
ever taken day work face leaving house withdrawn social events cope outside world wished anymore cried sleep alone loved valued worthy,@MindBodySoleUK,Apr 2,,6,751,GB,low
suicide hotline uk please feel ran options people turn try calling,@WOTSlTS,"Nov 1, 2017",,113,,GB,high
fucking tired able sleep night falling asleep day looking lazy also still getting enough sleep,@sturniolosangel,Apr 3,,,129,TZ,moderate
trying convince alright literally feel heart breaking appetite wanna anything break every minute,@storyofkeria,Apr 3,,3,140,KE,low
feeling really bad today felt wrong tried happy exhausted much energy spent staying awake try sleep anxious want feel okay,@koiicats,Apr 3,,2,301,KE,high
lee sun kyun famed parasite actor took life one favorite korean actors korea highest suicide rate world every time tragedy like occurs standard response seems copy paste call helpline,@theasianboss,"Dec 28, 2023",39,200,44K,KR,low
know text home feeling really depressed suicidal experiencing crisis lived trained crisis counselor text free service run crisis text line please share never know needs information,@nursingdiaries,"Jun 7, 2018",7,605,,CO,moderate
tired feeling stressed everything tired overwhelmed smallest things tired mentally physically exhausted time tired struggling social feeling like burden everyone talk tired,@ColdBrew_CJ,Mar 30,,,114,CO,high
literally sleep im fuckin tired im finna kill,@janiyandrea,Apr 4,,,48,UA,high
times like realize truly alone one lean open phone wanting talk someone one comes mind fear burden pushed everyone away one blame,@strong_n_fierce,Apr 2,,1,222,IN,low
know tweet anymore tbh mental health downward trajectory since months tried find happiness tweeting real madrid writing long articles despite fit professionally successful fairly good wealth good relationships,@RMadridEngineer,"Aug 21, 2023",438,260,350K,IN,moderate
mental health resources always available nyers free emotional support consultations referrals provider call last night bridges landmarks lit purple teal shine light important issue suicideprevention,@NYGov,"Oct 1, 2020",49,267,,US,low
may fucking deactivate shit cant take anymore alone anxious edge time get fake sympathy ridicule shake often isnt day goes dont think killing dont even know normal,@SSomeboiz,Apr 2,1,1,117,ID,high
bro im literally lonely one text call sit room day thoughts friends like literally,@1liniya_k,"Dec 31, 2024",78,452,130K,PK,high
nd suicide last days horrible ihoik kotacoaching kota,@ithappensinkota,"Jan 30, 2023",6,29,16K,PK,high
perfect life suicidal thoughts crying every night shutting people hope everything negative thinker lots breakdowns always alone,@yanngwonie,"Nov 12, 2018",,42,,NG,low
say lonely mean one talks mean friends mean mind lonely feel like people relate people understand heart lonely lonely like feel like anyone make bond,@mamacitaxbri,"Apr 21, 2023",8,775,206K,BD,low
suicidal lonely place ppl want hear often run patience quickly grappling decision leave everyone everything something must alone unlike major life decisions,@jaunty_aphorism,"Oct 15, 2024",414,17K,5M,BD,high
im always alone never things people one takes seriously im suicidal cant cope anymore lol,@r3puls1v3r4t,Apr 2,,,90,RU,low
going mexico city technically single sure ready put want hold back sad,@solayroze,Mar 30,,,57,MX,low
please read pass think could actually help someone one,@AnEndToSuicide,"Jun 14, 2017",16,337,,ET,low
mental breakdown alone without anyone knowing hard hiding behind smiles pretending alright silent battles never talk speak praying win life,@ohanxiety,"Sep 25, 2024",94,1.1K,69K,EG,low
loneliness kills people exactly isolate everyone let rot alone one love care,@v1rtual_ang3ll,11m,,,3,VN,low
cl grew love daddy soldier grandfather boxer understandably treated like princess weak child grew strong straightforward personality however deep also yearn gentle love,@MiNguyen4505,"May 29, 2024",3,155,14K,VN,high
mind mess always conflicted lately hard make decision pains finally admit suicidal trying end fuck,@Shadymademe_xo,Apr 5,3,,274,CD,low
ah yes cripplingly depressed lonely suppose shall naught end sorrowful emotions nestled within core,@TheDarkDuchesss,Apr 3,1,,45,CD,low
lonely incredibly lonely want one person truly connect may friends felt truly connected anyone long time truly wearing fatigued useless really really want go home,@Hardingfele2212,Apr 4,,,79,DE,high
keep walking past people age outside friends fun meanwhile starve someone like miserable lonely actually cant anymore,@abendeinsamkeit,3h,4,,76,DE,low
every day feel lonely like friends love care feel isolated even know anymore plans future gone constantly feel like running time anything,@Jaecethegirl,Apr 1,,,159,TZ,moderate
mental health suffers isolation persistent loneliness strongly linked depression anxiety suicidal ideation connection luxury necessity mentalhealthmatters,@Loneliness_Doc,Apr 3,,1,88,KE,low
hey grandpa died yesterday generally spiralling cause im home alone time makes realize lonely truly,@coquettecutter,Apr 3,,,23,CO,low
feel suffocated loneliness killing loss friends killed hands occupation still stuck mind,@Abdullah_Om3r03,"Dec 29, 2024",73,655,11K,UA,moderate
feel depressed suicidal today see please say hi makes massive difference,@Abdullah_Om3r03,Jan 31,2.7K,2.2K,322K,UA,low
dear men suicide never solution suicide guarantee justice near ones ever feel vulnerable please hesitate reach us together find way justiceisdue suicide bring change,@NCMIndiaa,Jan 13,23,297,20K,IN,low
starting yesterday us launched national suicide hotline anyone text call number reach trained counselor help mental health emergency rt save life,@arianajasmine__,"Jul 17, 2022",7,298,,US,low
feel suicidal please dial text professionals waiting assist,@ndatipo_johanna,"Nov 5, 2021",3,158,,ID,high
tons jokers around fighting system trying heard words posted kushal punjabi committed suicide high time start taking mental health seriously men mental health matters also need society support,@ArmedWithWords,"Dec 27, 2019",10,73,,PK,low
wish could cut deep people completely breaking rn anxious future feeling depressed everything happening want end hospital want die,@pxnselenos,Mar 30,5,8,2.8K,PK,high
depression started started cutting self tried end life twice felt like deserve purpose friends til day stopped owe life plus suicideawarenessweek,@xocarloss,"Sep 14, 2019",11,84,,MX,high
deep sense emptiness ugh go everyday something feeling wrong like constant lingering dread even wake sometimes even dreams,@Jiinxerrr,Apr 1,,,98,JP,high
feel disappointed lately becoming person never wish stuck miserable life know get dark strength fight battles feel like hopes gone,@ohanxiety,"Oct 17, 2024",111,973,73K,ET,high
even breathing feels heavy everywhere turn hopelessness lingers fake happiness pretend belong drifting mind rejects reality heart somewhere else even body hide truth falling apart,@venus12278,Mar 26,2,57,3.7K,VN,moderate
tw suicide december st genuinely hyperbolic nihilistic real mental health crisis happening believe informed impact political reality completely touch,@ImaniBarbarin@disabled.social,"Jan 19, 2024",60,5.3K,543K,IR,low
actually miserable right cannot see outcome anything try ending well point today rather die get,@Cercropiashr00m,Mar 31,,,35,IT,high
eternal optimist always superpower first time life look future literally feel depressed south african citizen feel unsafe unwelcome uninspired crime corruption xenophobia see,@katiabeeden,Apr 2,196,109,23K,ZA,low
hard justify killing unhappy times dwarf happiness u feel regular basis fixing seems like chore energy anymore try every beautiful moment seems fleeting unhappy ones constant,@el_ssbu,Apr 4,4,,526,ES,moderate
sometimes speak feel much self hatred want kill,@R4INC4NDYU,"Nov 6, 2024",8,654,42K,IN,low
please talk someone feeling unseen depressed suicidal enough etc people talk enough hard topic okay please tell parent call suicide hotline enough matter mentalhealth livestream,@BreadedPicklee,Apr 2,,2,79,US,moderate
feel bad annoying sad posting feel like tell anyone bad feel irl one gets feel alone also fault isolating,@koiicats,"Sep 15, 2024",21,305,19K,PK,high
even mental issues diagnosed depression every symptom ptsd every open expected open therapist meant going die knowing wrong,@ang3lpawzie,2h,1,,19,NG,low
never influencer something like cause like confident happy two days go anxious stressed depressed week cycle go mute days like twitter place go,@b_bluepromise,Mar 31,,,61,BD,low
im kidding say left alone thoughts makes want fucking kill,@R4INC4NDYU,Feb 9,29,5.6K,279K,RU,high
much wanna talk someone ab im feeling also js wanna get worse buutjrh erugh im suocidal rn,@angelmaxxingz,2h,,,22,MX,high
nag iinarte ka lang probably one worst things say someone confessed suicidal thoughts extend helping hand listen simply minsan friend difference life death someone worldsuicidepreventionday,@risahontiveros,"Sep 10, 2019",37,5.8K,,PH,moderate
whenever chats depression suicidal ideation happen always choose silence bc amount explaining make people understand control depression takes life,@justvuyi_,Mar 12,268,19K,2.7M,VN,low
genuinely one talk problems like anywhere sorry emo whatever kinda sucks one gaf,@bmiangelicc,Apr 4,,,12,FR,high
cant stop crying one talk abt fucking horrible feels like friends dont care like dont care tk cant talk anyone abt bc im talking abt im actually gonna kms cant stop crying,@t0xx1c1ty,Apr 1,,,80,TZ,moderate
